helm_model_name,model_size_B,pretrain_data_size_trillion_tokens,flops_1e21
mistralai/mixtral-8x7b-instruct-v0.1,,,
mistralai/open-mistral-nemo-2407,,,
mosaicml/mpt-30b,30,1,180
mosaicml/mpt-instruct-30b,30,1,180
openai/ada,,,
openai/babbage,,,
openai/code-cushman-001,,,
openai/code-davinci-002,,,
openai/curie,,,
openai/davinci,,,
openai/gpt-3.5-turbo-0125,,,
openai/gpt-3.5-turbo-0301,,,
openai/gpt-3.5-turbo-0613,,,
openai/gpt-3.5-turbo-1106,,,
openai/gpt-4-0613,,,
openai/gpt-4-1106-preview,,,
openai/gpt-4-turbo-2024-04-09,,,
openai/gpt-4o-2024-05-13,,,
openai/gpt-4o-2024-08-06,,,
openai/gpt-4o-mini-2024-07-18,,,
openai/o1-2024-12-17,,,
openai/o1-mini-2024-09-12,,,
openai/o3-mini-2025-01-31,,,
openai/text-ada-001,,,
openai/text-babbage-001,,,
openai/text-curie-001,,,
openai/text-davinci-002,,,
openai/text-davinci-003,,,
openthaigpt/openthaigpt-1.0.0-13b-chat,13.1,0.065,5.109
openthaigpt/openthaigpt-1.0.0-7b-chat,6.81,0.065,2.6559
qwen/qwen1.5-110b-chat,110,3,1980
qwen/qwen1.5-14b,14,3,252
qwen/qwen1.5-32b,32,3,576
qwen/qwen1.5-72b,72,3,1296
qwen/qwen1.5-72b-chat,72,3,1296
qwen/qwen1.5-7b,7,3,126
qwen/qwen1.5-7b-chat,7,3,126
qwen/qwen2-72b-instruct,72,7,3024
qwen/qwen2.5-72b-instruct-turbo,72,18,7776
qwen/qwen2.5-7b-instruct-turbo,7,18,756
sail/sailor-14b-chat,14.2,3.2,272.64
sail/sailor-7b-chat,7.72,3.2,148.224
sambanova/sambalingo-thai-chat,6.95,2.038,84.9846
sambanova/sambalingo-thai-chat-70b,70,2.026,850.92
scb10x/llama-3-typhoon-v1.5x-70b-instruct,,,
scb10x/llama-3-typhoon-v1.5x-8b-instruct,,,
scb10x/typhoon-7b,,,
scb10x/typhoon-v1.5-72b-instruct,,,
scb10x/typhoon-v1.5-8b-instruct,,,
snowflake/snowflake-arctic-instruct,,,
stanford/alpaca-7b,6.7,1,40.2
tiiuae/falcon-40b,40,1,240
tiiuae/falcon-40b-instruct,40,1,240
tiiuae/falcon-7b,7,1.5,63
tiiuae/falcon-7b-instruct,7,1.5,63
together/bloom,176,0.366,386.496
together/glm,,,
together/gpt-j-6b,6,3.54,127.44
together/gpt-neox-20b,20.7,0.4725,58.6845
together/opt-175b,175,0.18,189
together/opt-66b,66,0.18,71.28
together/redpajama-incite-base-3b-v1,3,0.8,14.4
together/redpajama-incite-base-7b,7,1,42
together/redpajama-incite-instruct-3b-v1,3,0.8,14.4
together/redpajama-incite-instruct-7b,7,1,42
together/t0pp,,,
together/t5-11b,,,
together/ul2,20,1,120
together/yalm,,,
upstage/solar-pro-241126,,,
writer/palmyra-instruct-30,,,
writer/palmyra-x,,,
writer/palmyra-x-004,,,
writer/palmyra-x-v2,,,
writer/palmyra-x-v3,,,
